Speed,AngleToTrackAxis,DistanceFromStartLine,TrackEdgeSensors,FocusSensors,TrackPosition,accelerate,brake,steering,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
3.83359E-4,-0.00778168,4416.29,6.49992,6.71521,7.47189,9.12129,12.8269,18.6066,24.4049,35.8494,68.4865,200.0,81.8664,39.1632,25.8672,19.4214,13.1786,9.26516,7.53998,6.74385,6.50048,-1.0,-1.0,-1.0,-1.0,-1.0,4.31354E-5,1.0,0.0,-0.009935406036674976,
