frontdistances1,frontdistances2,frontdistances3,frontdistances4,frontdistances5,frontdistances6,frontdistances7,frontdistances8,frontdistances9,frontdistances10,frontdistances11,frontdistances12,frontdistances13,frontdistances14,frontdistances15,frontdistances16,frontdistances17,frontdistances18,frontdistances19,Speed,accelerate,brake,steering,target speed,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,57.3687,200.0,57.3685,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,-1.1095939921556418E-7,272.1454779103971,
